date,station,station_bn,lat,lon,max_c,min_c
2026-09-21,Badalgachhi,বদলগাছি,24.9702,88.916,34.9,26.2
2026-09-22,Badalgachhi,বদলগাছি,24.9702,88.916,35.6,26.2
2026-09-21,Bandarban,বান্দরবন,22.1964,92.2176,33.2,24.8
2026-09-22,Bandarban,বান্দরবন,22.1964,92.2176,31.3,24.7
2026-09-21,Barishal,বরিশাল,22.75,90.3667,35.2,25.8
2026-09-22,Barishal,বরিশাল,22.75,90.3667,33.6,26.3
2026-09-21,Bhola,ভোলা,22.6833,90.65,34.5,26.0
2026-09-22,Bhola,ভোলা,22.6833,90.65,32.7,26.6
2026-09-21,Bogura,বগুড়া,24.85,89.3667,34.7,26.3
2026-09-22,Bogura,বগুড়া,24.85,89.3667,35.2,26.5
2026-09-21,Chandpur,চাঁদপুর,23.2667,90.7,35.7,25.8
2026-09-22,Chandpur,চাঁদপুর,23.2667,90.7,32.3,26.1
2026-09-21,Chattogram,চট্টগ্রাম,22.27,91.82,32.0,25.4
2026-09-22,Chattogram,চট্টগ্রাম,22.27,91.82,31.4,25.5
2026-09-21,Chuadanga,চুয়াডাঙা,23.65,88.8167,34.6,25.7
2026-09-22,Chuadanga,চুয়াডাঙা,23.65,88.8167,35.4,26.9
2026-09-21,Cox&#39;s Bazar,কক্সবাজার,21.45,91.9667,32.1,25.4
2026-09-22,Cox&#39;s Bazar,কক্সবাজার,21.45,91.9667,31.1,25.4
2026-09-21,Cumilla,কুমিল্লা,23.4333,91.1833,35.6,25.6
2026-09-22,Cumilla,কুমিল্লা,23.4333,91.1833,32.5,25.9
2026-09-21,Dhaka,ঢাকা,23.7667,90.3833,36.6,28.4
2026-09-22,Dhaka,ঢাকা,23.7667,90.3833,35.9,29.5
2026-09-21,Dighinala,দিঘীনালা,23.2588,92.0676,35.2,24.2
2026-09-22,Dighinala,দিঘীনালা,23.2588,92.0676,31.4,24.6
2026-09-21,Dimla,ডিমলা,26.1532,88.924,34.3,25.5
2026-09-22,Dimla,ডিমলা,26.1532,88.924,34.6,25.9
2026-09-21,Dinajpur,দিনাজপুর,25.65,88.6833,34.6,25.9
2026-09-22,Dinajpur,দিনাজপুর,25.65,88.6833,35.3,26.2
2026-09-21,Faridpur,ফরিদপুর,23.6,89.85,35.3,25.9
2026-09-22,Faridpur,ফরিদপুর,23.6,89.85,35.1,26.4
2026-09-21,Feni,ফেনী,23.0333,91.4167,34.8,25.3
2026-09-22,Feni,ফেনী,23.0333,91.4167,32.4,25.7
2026-09-21,Gopalganj,গোপালগঞ্জ,23.0155,89.835,35.6,25.8
2026-09-22,Gopalganj,গোপালগঞ্জ,23.0155,89.835,33.6,26.2
2026-09-21,Hatiya,হাতিয়া,22.4333,91.1,29.8,28.8
2026-09-22,Hatiya,হাতিয়া,22.4333,91.1,29.6,29.1
2026-09-21,Ishurdi,ঈশ্বরদী,24.1333,89.05,34.8,26.3
2026-09-22,Ishurdi,ঈশ্বরদী,24.1333,89.05,35.4,27.0
2026-09-21,Jashore,যশোর,23.1833,89.1667,34.8,25.4
2026-09-22,Jashore,যশোর,23.1833,89.1667,33.6,26.2
2026-09-21,Khepupara,খেপুপাড়া,21.9833,90.2333,32.4,25.8
2026-09-22,Khepupara,খেপুপাড়া,21.9833,90.2333,31.4,27.4
2026-09-21,Khulna,খুলনা,22.7833,89.5333,35.4,25.6
2026-09-22,Khulna,খুলনা,22.7833,89.5333,32.8,26.3
2026-09-21,Kumarkhali,কুমারখালী,23.9194,89.2289,34.6,26.1
2026-09-22,Kumarkhali,কুমারখালী,23.9194,89.2289,35.5,27.2
2026-09-21,Kutubdia,কুতুবদিয়া,21.8167,91.85,29.0,28.0
2026-09-22,Kutubdia,কুতুবদিয়া,21.8167,91.85,29.1,27.8
2026-09-21,Madaripur,মাদারীপুর,23.1667,90.1833,36.1,25.8
2026-09-22,Madaripur,মাদারীপুর,23.1667,90.1833,33.5,26.2
2026-09-21,Maijdi Court,মাইজীকোর্ট,22.8667,91.1,33.1,25.4
2026-09-22,Maijdi Court,মাইজীকোর্ট,22.8667,91.1,32.2,26.0
2026-09-21,Mongla,মংলা,22.4667,89.6,35.5,25.6
2026-09-22,Mongla,মংলা,22.4667,89.6,32.9,26.3
2026-09-21,Mymensingh,ময়মনসিংহ,24.7167,90.4333,35.2,25.8
2026-09-22,Mymensingh,ময়মনসিংহ,24.7167,90.4333,35.2,26.7
2026-09-21,Netrokona,নেত্রোকোনা,24.8872,90.7329,35.5,26.2
2026-09-22,Netrokona,নেত্রোকোনা,24.8872,90.7329,35.6,26.6
2026-09-21,Nikli,নিকলি,24.3292,90.9353,35.9,27.1
2026-09-22,Nikli,নিকলি,24.3292,90.9353,35.2,27.1
2026-09-21,Patuakhali,পটুয়াখালী,22.3333,90.3333,35.4,25.5
2026-09-22,Patuakhali,পটুয়াখালী,22.3333,90.3333,33.3,26.3
2026-09-21,Rajarhat,রাজারহাট,25.7974,89.5445,34.7,25.1
2026-09-22,Rajarhat,রাজারহাট,25.7974,89.5445,35.1,26.1
2026-09-21,Rajshahi,রাজশাহী,24.3667,88.7,34.8,26.6
2026-09-22,Rajshahi,রাজশাহী,24.3667,88.7,35.8,27.0
2026-09-21,Rangamati,রাঙ্গামাটি,22.5333,92.2,34.3,24.5
2026-09-22,Rangamati,রাঙ্গামাটি,22.5333,92.2,32.2,24.9
2026-09-21,Rangpur,রংপুর,25.7333,89.2333,34.3,25.6
2026-09-22,Rangpur,রংপুর,25.7333,89.2333,34.8,26.2
2026-09-21,Saint Martin,সেন্ট মার্টিন,20.6025,92.3296,28.4,28.3
2026-09-22,Saint Martin,সেন্ট মার্টিন,20.6025,92.3296,28.6,27.4
2026-09-21,Sandwip,সন্দ্বীপ,22.4833,91.4333,29.4,28.5
2026-09-22,Sandwip,সন্দ্বীপ,22.4833,91.4333,29.4,28.6
2026-09-21,Satkhira,সাতক্ষীরা,22.7167,89.0833,34.8,25.3
2026-09-22,Satkhira,সাতক্ষীরা,22.7167,89.0833,33.9,26.2
2026-09-21,Sayedpur,সৈয়দপুর,25.75,88.9167,34.2,25.8
2026-09-22,Sayedpur,সৈয়দপুর,25.75,88.9167,34.8,26.2
2026-09-21,Sitakundu,সীতাকুন্ডু,22.5833,91.7,31.6,25.5
2026-09-22,Sitakundu,সীতাকুন্ডু,22.5833,91.7,31.4,25.6
2026-09-21,Srimangal,শ্রীমঙ্গল,24.3,91.7333,35.9,25.4
2026-09-22,Srimangal,শ্রীমঙ্গল,24.3,91.7333,34.6,25.5
2026-09-21,Sylhet,সিলেট,24.9,91.8833,36.0,27.2
2026-09-22,Sylhet,সিলেট,24.9,91.8833,35.2,26.7
2026-09-21,Tangail,টাঙ্গাইল,24.25,89.9333,34.7,26.2
2026-09-22,Tangail,টাঙ্গাইল,24.25,89.9333,34.7,26.5
2026-09-21,Tarash,তাড়াশ,24.4354,89.3734,34.9,26.5
2026-09-22,Tarash,তাড়াশ,24.4354,89.3734,35.3,26.8
2026-09-21,Teknaf,টেকনাফ,20.8667,92.3,32.5,25.0
2026-09-22,Teknaf,টেকনাফ,20.8667,92.3,32.3,24.8
2026-09-21,Tetulia,তেঁতুলিয়া,26.4919,88.4713,34.4,25.5
2026-09-22,Tetulia,তেঁতুলিয়া,26.4919,88.4713,34.1,25.9
