timestamp,demand_mw,supply_mw,loadshed_mw,remarks
2026-04-23T00:00,14377,12443,1934,
2026-04-23T01:00,14282,12311,1971,
2026-04-23T02:00,14017,12032,1985,
2026-04-23T03:00,13823,12006,1817,
2026-04-23T04:00,13852,12059,1793,
2026-04-23T05:00,13602,12013,1589,
2026-04-23T06:00,13636,12053,1583,
2026-04-23T07:00,13449,12008,1441,
2026-04-23T08:00,13870,12243,1627,
2026-04-23T09:00,14226,12585,1641,
2026-04-23T10:00,14627,13118,1509,
2026-04-23T11:00,15069,13441,1628,
2026-04-23T12:00,15020,13385,1635,Day Peak
2026-04-23T13:00,15223,13577,1646,
2026-04-23T14:00,15157,13045,2112,
2026-04-23T15:00,15261,12860,2401,
2026-04-23T16:00,15282,12895,2387,
2026-04-23T17:00,15218,12866,2352,
2026-04-23T18:00,15304,13102,2202,
2026-04-23T19:00,16176,13693,2483,
2026-04-23T19:30,16175,13823,2352,
2026-04-23T20:00,16237,13988,2249,
2026-04-23T21:00,15982,13906,2076,Evening Peak
2026-04-23T22:00,16113,14022,2091,
2026-04-23T23:00,16026,13683,2343,
2026-04-24T00:00,15529,12969,2560,
2026-04-24T01:00,15317,12591,2726,
2026-04-24T02:00,15165,12413,2728,
2026-04-24T03:00,14973,12363,2610,
2026-04-24T04:00,14754,12242,2512,
2026-04-24T05:00,14421,12046,2375,
2026-04-24T06:00,13987,11714,2273,
2026-04-24T07:00,13828,11701,2127,
2026-04-24T08:00,13783,12025,1758,
2026-04-24T09:00,13630,12108,1522,
2026-04-24T10:00,13436,12338,1098,
2026-04-24T11:00,13638,12282,1356,
2026-04-24T12:00,13967,12295,1672,Day Peak
2026-04-24T13:00,14202,12344,1858,
2026-04-24T14:00,14132,12358,1774,
2026-04-24T15:00,14016,12431,1585,
2026-04-24T16:00,14109,12379,1730,
2026-04-24T17:00,14235,12592,1643,
2026-04-24T18:00,14320,12873,1447,
2026-04-24T19:00,15346,13580,1766,
2026-04-24T19:30,15435,13656,1779,
2026-04-24T20:00,14904,13086,1818,Evening Peak
2026-04-24T21:00,15387,13441,1946,
2026-04-24T22:00,15317,13422,1895,
2026-04-24T23:00,15169,13143,2026,
2026-04-25T00:00,14984,12546,2438,
2026-04-25T01:00,14989,12269,2720,
2026-04-25T02:00,14807,12053,2754,
2026-04-25T03:00,14603,12072,2531,
2026-04-25T04:00,14478,11976,2502,
2026-04-25T05:00,14197,11945,2252,
2026-04-25T06:00,13924,11732,2192,
2026-04-25T07:00,13746,11748,1998,
2026-04-25T08:00,13710,11793,1917,
2026-04-25T09:00,13842,11900,1942,
2026-04-25T10:00,13938,12018,1920,
2026-04-25T11:00,14099,12065,2034,Day Peak
2026-04-25T12:00,14333,12116,2217,
2026-04-25T13:00,14574,12287,2287,
2026-04-25T14:00,14467,12377,2090,
2026-04-25T15:00,14366,12151,2215,
2026-04-25T16:00,14670,12333,2337,
2026-04-25T17:00,14831,12505,2326,
2026-04-25T18:00,15216,13186,2030,
2026-04-25T19:00,16006,13621,2385,
2026-04-25T19:30,16181,14163,2018,
2026-04-25T20:00,16182,14280,1902,
2026-04-25T21:00,15765,13800,1965,Evening Peak
2026-04-25T22:00,15915,14058,1857,
2026-04-25T23:00,15322,13361,1961,
2026-04-26T00:00,14352,12487,1865,
2026-04-26T01:00,13637,12238,1399,
2026-04-26T02:00,13273,12565,708,
2026-04-26T03:00,12279,12109,170,
2026-04-26T04:00,12306,12168,138,
2026-04-26T05:00,12045,12005,40,
2026-04-26T06:00,12075,11984,91,
2026-04-26T07:00,12123,11978,145,
2026-04-26T08:00,12212,12003,209,
2026-04-26T09:00,12437,12103,334,
2026-04-26T10:00,13107,12691,416,
2026-04-26T11:00,13572,13113,459,
2026-04-26T12:00,13928,13417,511,Day Peak
2026-04-26T13:00,14116,13184,932,
2026-04-26T14:00,13893,12887,1006,
2026-04-26T15:00,13795,13040,755,
2026-04-26T16:00,12312,12081,231,
2026-04-26T17:00,10417,10275,142,
2026-04-26T18:00,8974,8908,66,
2026-04-26T19:00,10606,10508,98,
2026-04-26T19:30,10700,10700,0,
2026-04-26T20:00,10891,10891,0,
2026-04-26T21:00,11294,11294,0,Evening Peak
2026-04-26T22:00,11347,11317,30,
2026-04-26T23:00,11703,11672,31,
2026-04-27T00:00,11862,11835,27,
2026-04-27T01:00,11114,11114,0,
2026-04-27T02:00,10591,10591,0,
2026-04-27T03:00,9818,9818,0,
2026-04-27T04:00,9012,9012,0,
2026-04-27T05:00,7907,7907,0,
2026-04-27T06:00,7007,7007,0,
2026-04-27T07:00,7405,7405,0,
2026-04-27T08:00,8078,8078,0,
2026-04-27T09:00,8714,8714,0,
2026-04-27T10:00,9423,9423,0,
2026-04-27T11:00,10166,10166,0,
2026-04-27T12:00,11134,11134,0,Day Peak
2026-04-27T13:00,10873,10873,0,
2026-04-27T14:00,10784,10784,0,
2026-04-27T15:00,11341,11318,23,
2026-04-27T16:00,11123,11101,22,
2026-04-27T17:00,11258,11194,64,
2026-04-27T18:00,11688,11629,59,
2026-04-27T19:00,13040,12974,66,
2026-04-27T19:30,12847,12815,32,
2026-04-27T20:00,12668,12668,0,
2026-04-27T21:00,12793,12793,0,Evening Peak
2026-04-27T22:00,12398,12398,0,
2026-04-27T23:00,12278,12278,0,
2026-04-28T00:00,12183,12183,0,
2026-04-28T01:00,11697,11697,0,
2026-04-28T02:00,11404,11404,0,
2026-04-28T03:00,11017,11017,0,
2026-04-28T04:00,10493,10493,0,
2026-04-28T05:00,10570,10570,0,
2026-04-28T06:00,10366,10366,0,
2026-04-28T07:00,10743,10743,0,
2026-04-28T08:00,10610,10562,48,
2026-04-28T09:00,10660,10628,32,
2026-04-28T10:00,10669,10633,36,
2026-04-28T11:00,10360,10360,0,
2026-04-28T12:00,10620,10620,0,Day Peak
2026-04-28T13:00,10127,10127,0,
2026-04-28T14:00,10069,10069,0,
2026-04-28T15:00,10029,10029,0,
2026-04-28T16:00,9947,9947,0,
2026-04-28T17:00,9982,9982,0,
2026-04-28T18:00,10371,10371,0,
2026-04-28T19:00,11359,11359,0,
2026-04-28T19:30,11475,11475,0,Evening Peak
2026-04-28T20:00,11326,11326,0,
2026-04-28T21:00,11458,11458,0,
2026-04-28T22:00,11105,11105,0,
2026-04-28T23:00,11001,11001,0,
2026-04-29T00:00,10612,10612,0,
2026-04-29T01:00,10240,10240,0,
2026-04-29T02:00,9577,9577,0,
2026-04-29T03:00,9054,9054,0,
2026-04-29T04:00,8444,8444,0,
2026-04-29T05:00,8169,8169,0,
2026-04-29T06:00,7894,7894,0,
2026-04-29T07:00,7236,7236,0,
2026-04-29T08:00,6957,6957,0,
2026-04-29T09:00,7444,7444,0,
2026-04-29T10:00,8089,8089,0,
2026-04-29T11:00,8644,8644,0,
2026-04-29T12:00,9330,9330,0,Day Peak
2026-04-29T13:00,9100,9100,0,
2026-04-29T14:00,9280,9280,0,
2026-04-29T15:00,9253,9253,0,
2026-04-29T16:00,9084,9084,0,
2026-04-29T17:00,9261,9261,0,
2026-04-29T18:00,9692,9692,0,
2026-04-29T19:00,11036,11036,0,Evening Peak
2026-04-29T19:30,10789,10789,0,
2026-04-29T20:00,10676,10676,0,
2026-04-29T21:00,10525,10525,0,
2026-04-29T22:00,9304,9304,0,
2026-04-29T23:00,8758,8758,0,
2026-04-30T00:00,7941,7941,0,
2026-04-30T01:00,7604,7604,0,
2026-04-30T02:00,7350,7350,0,
2026-04-30T03:00,7400,7400,0,
2026-04-30T04:00,7217,7217,0,
2026-04-30T05:00,7200,7200,0,
2026-04-30T06:00,7679,7679,0,
2026-04-30T07:00,8250,8250,0,
2026-04-30T08:00,9095,9095,0,
2026-04-30T09:00,9619,9619,0,
2026-04-30T10:00,10096,10096,0,
2026-04-30T11:00,10800,10800,0,
2026-04-30T12:00,11270,11270,0,Day Peak
2026-04-30T13:00,11456,11456,0,
2026-04-30T14:00,11372,11372,0,
2026-04-30T15:00,11160,11160,0,
2026-04-30T16:00,11018,11018,0,
2026-04-30T17:00,10860,10860,0,
2026-04-30T18:00,11019,11019,0,
2026-04-30T19:00,12238,12238,0,
2026-04-30T19:30,12614,12614,0,Evening Peak
2026-04-30T20:00,12159,12159,0,
2026-04-30T21:00,12080,12080,0,
2026-04-30T22:00,11497,11497,0,
2026-04-30T23:00,10964,10964,0,
2026-05-01T00:00,10374,10374,0,
2026-05-01T01:00,9970,9970,0,
2026-05-01T02:00,9460,9460,0,
2026-05-01T03:00,8990,8990,0,
2026-05-01T04:00,8595,8595,0,
2026-05-01T05:00,8328,8328,0,
2026-05-01T06:00,7986,7986,0,
2026-05-01T07:00,8054,8054,0,
2026-05-01T08:00,8126,8126,0,
2026-05-01T09:00,8119,8119,0,
2026-05-01T10:00,8129,8129,0,
2026-05-01T11:00,8419,8419,0,
2026-05-01T12:00,8894,8894,0,Day Peak
2026-05-01T13:00,9785,9785,0,
2026-05-01T14:00,9095,9095,0,
2026-05-01T15:00,8475,8475,0,
2026-05-01T16:00,8036,8036,0,
2026-05-01T17:00,8028,8028,0,
2026-05-01T18:00,8398,8398,0,
2026-05-01T19:00,10492,10492,0,
2026-05-01T19:30,10462,10462,0,Evening Peak
2026-05-01T20:00,10315,10315,0,
2026-05-01T21:00,10410,10410,0,
2026-05-01T22:00,10243,10243,0,
2026-05-01T23:00,10141,10141,0,
2026-05-02T00:00,9961,9961,0,
2026-05-02T01:00,9226,9226,0,
2026-05-02T02:00,8924,8924,0,
2026-05-02T03:00,8614,8614,0,
2026-05-02T04:00,8249,8249,0,
2026-05-02T05:00,7960,7960,0,
2026-05-02T06:00,8005,8005,0,
2026-05-02T07:00,8695,8695,0,
2026-05-02T08:00,9033,9033,0,
2026-05-02T09:00,9129,9129,0,
2026-05-02T10:00,9357,9357,0,
2026-05-02T11:00,9872,9872,0,
2026-05-02T12:00,10427,10427,0,Day Peak
2026-05-02T13:00,10343,10343,0,
2026-05-02T14:00,9710,9710,0,
2026-05-02T15:00,9207,9207,0,
2026-05-02T16:00,9193,9193,0,
2026-05-02T17:00,9267,9267,0,
2026-05-02T18:00,9776,9776,0,
2026-05-02T19:00,11066,11066,0,
2026-05-02T19:30,11085,11085,0,
2026-05-02T20:00,11092,11092,0,Evening Peak
2026-05-02T21:00,10929,10929,0,
2026-05-02T22:00,10754,10754,0,
2026-05-02T23:00,10530,10530,0,
2026-05-03T00:00,10316,10316,0,
2026-05-03T01:00,9803,9803,0,
2026-05-03T02:00,9555,9555,0,
2026-05-03T03:00,9236,9236,0,
2026-05-03T04:00,8956,8956,0,
2026-05-03T05:00,8837,8837,0,
2026-05-03T06:00,9028,9028,0,
2026-05-03T07:00,9617,9617,0,
2026-05-03T08:00,9755,9755,0,
2026-05-03T09:00,10053,10053,0,
2026-05-03T10:00,10576,10576,0,
2026-05-03T11:00,11282,11282,0,
2026-05-03T12:00,11604,11604,0,Day Peak
2026-05-03T13:00,11526,11526,0,
2026-05-03T14:00,11491,11491,0,
2026-05-03T15:00,11387,11387,0,
2026-05-03T16:00,11107,11107,0,
2026-05-03T17:00,11010,11010,0,
2026-05-03T18:00,11210,11210,0,
2026-05-03T19:00,12684,12684,0,
2026-05-03T19:30,12745,12745,0,Evening Peak
2026-05-03T20:00,12684,12684,0,
2026-05-03T21:00,12435,12435,0,
2026-05-03T22:00,12222,12222,0,
2026-05-03T23:00,11866,11866,0,
2026-05-04T00:00,11568,11568,0,
2026-05-04T01:00,11298,11298,0,
2026-05-04T02:00,10636,10636,0,
2026-05-04T03:00,10388,10388,0,
2026-05-04T04:00,9883,9883,0,
2026-05-04T05:00,9638,9638,0,
2026-05-04T06:00,9602,9602,0,
2026-05-04T07:00,9930,9930,0,
2026-05-04T08:00,10261,10261,0,
2026-05-04T09:00,10630,10630,0,
2026-05-04T10:00,10907,10907,0,
2026-05-04T11:00,11277,11277,0,
2026-05-04T12:00,11818,11818,0,Day Peak
2026-05-04T13:00,12140,12140,0,
2026-05-04T14:00,12060,12060,0,
2026-05-04T15:00,11966,11966,0,
2026-05-04T16:00,11628,11628,0,
2026-05-04T17:00,11484,11484,0,
2026-05-04T18:00,11704,11704,0,
2026-05-04T19:00,13371,13371,0,
2026-05-04T19:30,13128,13128,0,Evening Peak
2026-05-04T20:00,13183,13183,0,
2026-05-04T21:00,13039,13039,0,
2026-05-04T22:00,12593,12593,0,
2026-05-04T23:00,12042,12042,0,
2026-05-05T00:00,11410,11410,0,
2026-05-05T01:00,10780,10780,0,
2026-05-05T02:00,10400,10400,0,
2026-05-05T03:00,10188,10188,0,
2026-05-05T04:00,10008,10008,0,
2026-05-05T05:00,9669,9669,0,
2026-05-05T06:00,10047,10047,0,
2026-05-05T07:00,10488,10488,0,
2026-05-05T08:00,10847,10847,0,
2026-05-05T09:00,11138,11138,0,
2026-05-05T10:00,11729,11729,0,
2026-05-05T11:00,12362,12362,0,
2026-05-05T12:00,12879,12879,0,Day Peak
2026-05-05T13:00,13415,13415,0,
2026-05-05T14:00,12594,12594,0,
2026-05-05T15:00,12912,12912,0,
2026-05-05T16:00,12528,12528,0,
2026-05-05T17:00,12320,12320,0,
2026-05-05T18:00,12371,12371,0,
2026-05-05T19:00,13753,13658,95,
2026-05-05T19:30,13774,13650,124,Evening Peak
2026-05-05T20:00,13938,13829,109,
2026-05-05T21:00,13773,13658,115,
2026-05-05T22:00,13527,13391,136,
2026-05-05T23:00,13246,13108,138,
2026-05-06T00:00,12775,12655,120,
2026-05-06T01:00,12471,12389,82,
2026-05-06T02:00,12046,11966,80,
2026-05-06T03:00,11717,11638,79,
2026-05-06T04:00,11404,11333,71,
2026-05-06T05:00,11128,11084,44,
2026-05-06T06:00,11193,11149,44,
2026-05-06T07:00,11465,11415,50,
2026-05-06T08:00,11558,11558,0,
2026-05-06T09:00,11976,11976,0,
2026-05-06T10:00,12339,12339,0,
2026-05-06T11:00,12690,12690,0,
2026-05-06T12:00,12897,12897,0,Day Peak
2026-05-06T13:00,12866,12866,0,
2026-05-06T14:00,12614,12614,0,
2026-05-06T15:00,12439,12407,32,
2026-05-06T16:00,11829,11829,0,
2026-05-06T17:00,11322,11322,0,
2026-05-06T18:00,10315,10315,0,
2026-05-06T19:00,10870,10870,0,
2026-05-06T19:30,11107,11107,0,
2026-05-06T20:00,11125,11125,0,
2026-05-06T21:00,11572,11572,0,Evening Peak
2026-05-06T22:00,11646,11646,0,
2026-05-06T23:00,11886,11886,0,
2026-05-07T00:00,11671,11671,0,
2026-05-07T01:00,11242,11242,0,
2026-05-07T02:00,11026,11026,0,
2026-05-07T03:00,10523,10523,0,
2026-05-07T04:00,10374,10374,0,
2026-05-07T05:00,10283,10283,0,
2026-05-07T06:00,10438,10438,0,
2026-05-07T07:00,10731,10731,0,
2026-05-07T08:00,10971,10971,0,
2026-05-07T09:00,11135,11135,0,
2026-05-07T10:00,11520,11520,0,
2026-05-07T11:00,12055,12055,0,
2026-05-07T12:00,12688,12688,0,Day Peak
2026-05-07T13:00,12962,12962,0,
2026-05-07T14:00,12892,12892,0,
2026-05-07T15:00,12845,12845,0,
2026-05-07T16:00,12799,12799,0,
2026-05-07T17:00,12416,12416,0,
2026-05-07T18:00,12440,12440,0,
2026-05-07T19:00,14130,13955,175,
2026-05-07T19:30,13989,13814,175,Evening Peak
2026-05-07T20:00,14018,13862,156,
2026-05-07T21:00,13324,13212,112,
2026-05-07T22:00,12605,12493,112,
2026-05-07T23:00,11756,11710,46,
2026-05-08T00:00,11991,11921,70,
2026-05-08T01:00,11948,11889,59,
2026-05-08T02:00,11618,11560,58,
2026-05-08T03:00,11206,11161,45,
2026-05-08T04:00,10917,10884,33,
2026-05-08T05:00,10595,10577,18,
2026-05-08T06:00,10372,10372,0,
2026-05-08T07:00,10521,10521,0,
2026-05-08T08:00,10471,10471,0,
2026-05-08T09:00,10559,10559,0,
2026-05-08T10:00,10796,10796,0,
2026-05-08T11:00,11387,11387,0,
2026-05-08T12:00,11768,11768,0,
2026-05-08T13:00,12355,12355,0,
2026-05-08T14:00,11554,11554,0,
2026-05-08T15:00,11894,11894,0,
2026-05-08T16:00,11658,11658,0,
2026-05-08T17:00,11338,11338,0,
2026-05-08T18:00,11199,11199,0,
2026-05-08T19:00,13118,13045,73,
2026-05-08T19:30,13576,13499,77,
2026-05-08T20:00,13570,13497,73,
2026-05-08T21:00,13438,13438,0,Evening Peak
2026-05-08T22:00,13408,13408,0,
2026-05-08T23:00,13376,13376,0,
2026-05-09T00:00,12709,12709,0,
2026-05-09T01:00,12259,12259,0,
2026-05-09T02:00,11520,11520,0,
2026-05-09T03:00,11245,11245,0,
2026-05-09T04:00,11125,11125,0,
2026-05-09T05:00,10924,10924,0,
2026-05-09T06:00,10871,10871,0,
2026-05-09T07:00,10970,10970,0,
2026-05-09T08:00,10834,10834,0,
2026-05-09T09:00,10623,10623,0,
2026-05-09T10:00,10992,10992,0,
2026-05-09T11:00,11706,11706,0,
2026-05-09T12:00,12196,12196,0,Day Peak
2026-05-09T13:00,12740,12740,0,
2026-05-09T14:00,12732,12732,0,
2026-05-09T15:00,12924,12924,0,
2026-05-09T16:00,12858,12858,0,
2026-05-09T17:00,12814,12814,0,
2026-05-09T18:00,12997,12944,53,
2026-05-09T19:00,14701,14580,121,
2026-05-09T19:30,14750,14629,121,Evening Peak
2026-05-09T20:00,14796,14673,123,
2026-05-09T21:00,14902,14782,120,
2026-05-09T22:00,14724,14617,107,
2026-05-09T23:00,14591,14480,111,
2026-05-10T00:00,13909,13813,96,
2026-05-10T01:00,13740,13606,134,
2026-05-10T02:00,13430,13317,113,
2026-05-10T03:00,12861,12778,83,
2026-05-10T04:00,12445,12372,73,
2026-05-10T05:00,12041,11990,51,
2026-05-10T06:00,12007,11944,63,
2026-05-10T07:00,12111,12038,73,
2026-05-10T08:00,12243,12149,94,
2026-05-10T09:00,12583,12499,84,
2026-05-10T10:00,12927,12879,48,
2026-05-10T11:00,13109,13064,45,
2026-05-10T12:00,13777,13732,45,Day Peak
2026-05-10T13:00,13922,13877,45,
2026-05-10T14:00,12775,12680,95,
2026-05-10T15:00,12199,12199,0,
2026-05-10T16:00,11803,11803,0,
2026-05-10T17:00,11554,11554,0,
2026-05-10T18:00,11574,11574,0,
2026-05-10T19:00,13275,13206,69,
2026-05-10T19:30,13591,13546,45,Evening Peak
