date,production_capacity_mmcfd,production_mmcfd,rlng_mmcfd,power_demand_mmcfd,power_supply_mmcfd,fertilizer_demand_mmcfd,fertilizer_supply_mmcfd,others_supply_mmcfd,total_supply_mmcfd
2025-09-20,3829,2795.3,1023.7,2420.9,1011.1,329.0,126.4,1579.2,2716.8
2025-09-21,3829,2818.1,1034.8,2420.9,1036.0,329.0,125.4,1631.0,2792.5
2025-09-22,3829,2844.9,1052.8,2420.9,981.1,329.0,125.0,1641.0,2747.1
2025-09-23,3829,2821.3,1033.3,2420.9,978.0,329.0,125.3,1630.6,2733.9
2025-09-24,3829,2815.2,1022.1,2420.9,975.4,329.0,125.4,1630.3,2731.2
2025-09-25,3829,2823.8,1040.3,2420.9,999.3,329.0,125.9,1628.3,2753.5
2025-09-26,3829,2651.8,908.0,2420.9,960.3,329.0,126.5,1422.1,2509.0
2025-09-27,3829,2728.7,981.7,2420.9,982.1,329.0,126.8,1611.1,2719.9
2025-09-28,3829,2809.2,1041.8,2420.9,978.4,329.0,126.9,1569.0,2674.3
2025-09-29,3829,2813.5,1026.3,2420.9,985.0,329.0,125.5,1641.5,2752.0
2025-09-30,3829,2753.4,969.3,2420.9,952.5,329.0,126.4,1539.6,2618.5
2025-10-01,3829,2676.7,902.6,2420.9,947.2,329.0,128.0,1536.6,2611.9
2025-10-02,3829,2669.6,902.5,2420.9,947.4,329.0,130.2,1435.9,2513.5
2025-10-03,3829,2670.0,925.4,2524.9,1002.4,329.0,137.0,1313.3,2452.7
2025-10-04,3829,2671.6,908.6,2524.9,1024.2,329.0,157.6,1518.9,2700.7
2025-10-05,3829,2673.5,887.3,2524.9,933.1,329.0,159.9,1524.8,2617.8
2025-10-06,3854,2711.7,922.6,2524.9,927.2,329.0,161.1,1600.3,2688.5
2025-10-07,3854,2721.0,927.6,2524.9,926.7,329.0,162.3,1586.1,2675.2
2025-10-08,3854,2718.2,923.0,2524.9,925.2,329.0,164.2,1567.1,2656.4
2025-10-09,3829,2710.2,914.9,2524.9,908.5,329.0,165.2,1567.0,2640.7
2025-10-10,3829,2690.8,912.4,2524.9,856.6,329.0,165.2,1394.3,2416.0
