published,outage_date,outage_until,from_time,to_time,district,zone,title,url
2026-09-23,2026-09-24,2026-09-24,07:30,13:30,Rajshahi,Rajshahi,"বিক্রয় ও বিতরণ বিভাগ-১, নেসকো, রাজশাহী দপ্তরের গ্রাহকদের জানানো যাচ্ছে , ১১ কেভি লাইনের নিকটবর্তী গাছের শাখা-প্রশাখা কর্তনের জন্য আগামী ২৪/০৯/২০২৬ ইং (রোজ বৃহস্পতিবার) নিম্নোক্ত এলাকাসমূহে সকাল ০৭:৩০ হতে দুপুর ০১:৩০ পর্যন্ত বিদ্যুৎ সরবরাহ বন্ধ থাকবে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-nesco/2026/8/94f264ab-f170-4fdf-b3c6-2fda0f551dd8.pdf
2026-09-20,2026-09-21,2026-09-21,,,Rajshahi,Rajshahi,"বিক্রয় ও বিতরণ বিভাগ-২, নেসকো, রাজশাহী দপ্তরের গ্রাহকের জানানো যাচ্ছে যে, লাইনের নিকটবর্তী গাছের ডালপালা কর্তন কাজের জন্য আগামী ২১/০৯/২০২৬ ইং রোজ সোমবার নিম্নোক্ত ছক অনুযায়ী বিদ্যুৎ বন্ধ থাকবে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-nesco/2026/8/c4d5556d-f4d8-4136-b4fb-1995aaf42fcb.pdf
2026-09-17,2026-09-19,2026-09-19,07:00,13:30,Rajshahi,Rajshahi,"বিক্রয় ও বিতরণ বিভাগ-১,নেসকো,রাজশাহী দপ্তরের ১১ কেভি বিদ্যুৎ লাইনের নিকটবর্তী গাছপালার শাখা-প্রশাখা কর্তনের জন্য আগামী ১৯/০৯/২০২৬ ইং রোজ শনিবার নিম্নোক্ত এলাকাসমুহে সকাল ০৭:০০ ঘটিকা হইতে দুপুর ১:৩০ ঘটিকা পর্যন্ত পর্যায়ক্রমে বিদ্যুৎ সরবরাহ বন্ধ থাকবে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-nesco/2026/8/2d678d9f-be6f-44ce-9388-f076d67f358e.pdf
2026-09-17,2026-09-18,2026-09-18,08:00,17:00,Rangpur,Rangpur,"বিক্রয় ও বিতরণ বিভাগ-২,নেসকো ,রংপুর দপ্তরের ১১ কেভি টার্মিনাল ফিডারের নিকটবর্তী গাছপালার শাখা-প্রশাখা কর্তনের জন্য আগামী ১৮/০৯/২০২৬ ইং রোজ শুক্রবার সকাল ০৮:০০ ঘটিকা হইতে বিকাল ০৫:০০ ঘটিকা পর্যন্ত নিম্নোক্ত শিডিউল অনুযায়ী বিদ্যুৎ সরবরাহ বন্ধ থাকবে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-nesco/2026/8/e41b7ecf-b96e-4efc-a1d1-eee3391b906e.pdf
2026-09-10,2026-09-11,2026-09-11,08:00,17:00,Rangpur,Rangpur,"বিক্রয় ও বিতরণ বিভাগ-২,নেসকো ,রংপুর দপ্তরের ১১ কেভি মেডিকেল ফিডারের নিকটবর্তী গাছপালার শাখা-প্রশাখা কর্তনের জন্য আগামী ১১/০৯/২০২৬ ইং রোজ শুক্রবার সকাল ০৮:০০ ঘটিকা হইতে বিকাল ০৫:০০ ঘটিকা পর্যন্ত বিদ্যুৎ সরবরাহ বন্ধ থাকবে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-nesco/2026/8/d78a71ab-3f2a-4919-960e-d2118d42e146.pdf
2026-09-10,2026-09-11,2026-09-11,07:30,12:30,Rajshahi,Rajshahi,"বিক্রয় ও বিতরণ বিভাগ-১,নেসকো,রাজশাহী দপ্তরের ১১ কেভি বিদ্যুৎ লাইনের নিকটবর্তী গাছপালার শাখা-প্রশাখা কর্তনের জন্য আগামী ১১/০৯/২০২৬ ইং রোজ শুক্রবার নিম্নোক্ত এলাকাসমুহে সকাল ০৭:৩০ ঘটিকা হইতে দুপুর ১২:৩০ ঘটিকা পর্যন্ত পর্যায়ক্রমে বিদ্যুৎ সরবরাহ বন্ধ থাকবে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-nesco/2026/8/9ee6a593-6380-4240-ab58-e3d5008dcbd4.pdf
2026-07-16,2026-07-18,2026-07-19,07:00,13:30,Rajshahi,Rajshahi,"বিক্রয় ও বিতরণ বিভাগ-১, নেসকো, রাজশাহী দপ্তরের ১১ কেভি লাইনের নিকটবর্তী গাছপালার শাখা-প্রশাখা কর্তনের জন্য আগামী ১৮/০৭/২০২৬ খ্রি এবং ১৯/০৭/২০২৬ তারিখ সকাল ০৭:০০ ঘটিকা হতে দুপুর ০১:৩০ টা পর্যন্ত বিদ্যুৎ সরবরাহ বন্ধ থাকবে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-nesco/2026/6/42282c49-602e-468f-af8f-789c77c9ce99.pdf
2026-07-13,2026-07-14,2026-07-14,06:00,09:00,Natore,Rajshahi,"বিবিবি, নেসকো, নাটোর দপ্তরের গ্রাহকগণের অবগতির জন্য জানানো যাচ্ছে যে, নাটোর গ্রীড উপকেন্দ্রের ১৩২ কেভি মেইন বাসে জরুরী সংরক্ষণ কাজের জন্য আগামী ১৪/০৭/২০২৬ ইং তারিখ রোজ মঙ্গলবার সকাল ০৬:০০ ঘটিকা হইতে সকাল ০৯:০০ ঘটিকা পর্যন্ত বিদ্যুৎ সরবরাহ বন্ধ থাকবে",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-nesco/2026/6/163eff48-e0dd-448c-83a7-db5f1ec43758.pdf
2026-06-18,2026-06-20,2026-06-20,09:00,16:00,Nawabganj,Rajshahi,"শিবগঞ্জ বিদ্যুৎ সরবরাহ, নেসকো, চাঁপাইনবাবগঞ্জ দপ্তরের গ্রাহকের জানানো যাচ্ছে যে, ৩৩ কেভি লাইন স্থানান্তর কাজের জন্য আগামী ২০/০৬/২০২৬ ইং রোজ শনিবার সকাল ০৯:০০ ঘটিকা হইতে দুপুর ০৪:০০ ঘটিকা পর্যন্ত বিদ্যুৎ বন্ধ থাকবে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-nesco/2026/5/762df299-b71f-491f-9fb8-084dc940cd31.pdf
2026-05-23,2026-05-24,2026-05-24,08:00,16:00,Sirajganj,Rajshahi,"বিবিবি-২,সিরাজগঞ্জ দপ্তরের নওপাজেকো- পুঠিয়াবাড়ি ৩৩ কেভি সোলার সোর্স লাইনের মেরামত ও সংরক্ষণ এবং নিকটবর্তী বৃক্ষের শাখা প্রশাখা কর্তনের জন্য উক্ত ৩৩ কেভি সোর্স লাইনটি আগামী ২৪/০৫/২০২৬ ইং তারিখ রোজ রবিবার সকাল ০৮:০০ হতে বিকাল ০৪:০০ টা পর্যন্ত বন্ধ থাকবে।",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-nesco/2026/4/45a24cef-5345-4079-925a-01a05eeea165.pdf
