date,plant,reason,lost_mw,remark,restart
2026-09-20,Ghorasal Repowered CCPP Unit-3 (GT) Gas (PDB),repair,260,Under project work,
2026-09-20,Ghorasal Repowered CCPP Unit-4 Gas (PDB),gas,180,Gas Shortage,
2026-09-20,Ghorasal TPP Unit-5 Gas (PDB),gas,190,Gas Shortage,
2026-09-20,Ghorasal 365 MW CCPP Unit-7 Gas (PDB),gas,365,Gas Shortage,
2026-09-20,Ghorashal 108MW PP (Regent) Gas (IPP),gas,99,Gas Shortage,
2026-09-20,Tongi 80 MW GTPP Gas (PDB),gas,105,Gas Shortage,
2026-09-20,210 MW Siddhirgonj TPP Gas (PDB),repair,115,Under Overhauling,
2026-09-20,Siddhirgonj 2*120 MW GTPP Gas (EGCB),gas,210,Gas Shortage,
2026-09-20,Meghnaghat 583 MW CCPP(Summit) Gas (IPP),gas,583,Gas Shortage,
2026-09-20,Meghnaghat (Jera) 718MW CCPP Gas (IPP),gas,718,Gas Shortage,
2026-09-20,Chattogram TPP Gas (PDB),gas,360,Gas Shortage,
2026-09-20,Shikalbaha Peaking GT Gas (PDB),repair,150,Under maint.,
2026-09-20,Matarbari 2*600 MW (CPGCL) Coal (CPGCL),repair,6,Under maint,
2026-09-20,Ashuganj 195MW PP (APSCL-United) Gas (IPP),gas,169,Gas Shortage,
2026-09-20,RPCL 210MW CCPP Gas (IPP),gas,210,Gas Shortage,
2026-09-20,Fenchugonj CCPP Phase-2 Gas (PDB),gas,51,Gas Shortage,
2026-09-20,Kushiara 163 MW CCPP (KP) Gas (IPP),repair,163,Under maint.,
2026-09-20,Shahjibazar GTPP Unit- 8 & 9 Gas (PDB),repair,35,Unit-9 Under maint.,
2026-09-20,Shajibazar 330 MW CCPP Gas (PDB),repair,330,Gt-2 Under maint.,
2026-09-20,Shahjibazar 100 MW GTPP Gas (PDB),repair,100,Under maint.,
2026-09-20,Bheramara 410 MW CCPP Gas (NWPGCL),gas,410,Gas Shortage,
2026-09-20,Maitree Super Thermal 1320 MW PP (U-1) Coal (BIFPCL),repair,198,Under maint,
2026-09-20,Payra 1320 MW TPP Coal (BCPCL),repair,516,Under maint,
2026-09-20,Barisal Electric 307 MW Coal (IPP),coal,107,Wet Coal,
2026-09-20,Patuakhali 1320 MW (RNPL) Coal RPCL,coal,144,Coal Shortage,
2026-09-20,Baghabari 71 MW GTPP Gas (PDB),gas,71,Gas Shortage,
2026-09-20,Baghabari 100 MW GTPP Gas (PDB),repair,100,Under maint.,
2026-09-20,Sirajgonj 225MW CCPP Unit-2 Gas (NWPGCL),gas,220,Gas Shortage,
2026-09-20,Sirajgonj 225MW CCPP Unit-3 Gas (NWPGCL),gas,220,Gas Shortage,
2026-09-20,Barapukuria TPP Unit-1 &2 Coal (PDB),repair,120,Under maint U-2,
2026-09-20,Barapukuria 275 MW TPP Unit-3 Coal (PDB),repair,114,ID Fan Problem,
