month_day,mean_temp_c,max_temp_c,mean_humidity_pct
01-01,18.38,24.44,77.86
01-02,17.98,24.2,78.07
01-03,17.97,24.4,78.02
01-04,18.31,24.92,79.27
01-05,18.55,25.22,79.38
01-06,18.92,25.52,78.51
01-07,19.23,25.48,76.14
01-08,19.25,25.54,77.98
01-09,18.84,25.28,77.86
01-10,19.04,25.38,76.19
01-11,19.27,25.12,74.17
01-12,18.51,24.5,75.9
01-13,18.55,24.34,76.06
01-14,18.59,24.16,74.83
01-15,18.23,24.2,71.41
01-16,17.58,23.68,72.68
01-17,17.49,23.62,73.87
01-18,17.58,23.64,76.8
01-19,17.89,23.76,74.77
01-20,17.68,23.26,78.69
01-21,17.91,23.96,74.67
01-22,17.77,23.5,74.72
01-23,17.93,23.98,76.72
01-24,18.87,24.08,74.63
01-25,19.03,24.9,76.1
01-26,18.81,24.78,74.84
01-27,18.21,24.22,72.68
01-28,17.71,24.06,69.57
01-29,17.72,24.2,70.99
01-30,18.44,24.28,74.01
01-31,18.86,24.7,75.62
02-01,19.23,24.68,79.15
02-02,19.08,25.38,75.65
02-03,19.24,25.68,73.9
02-04,19.1,25.62,72.98
02-05,19.63,25.64,71.19
02-06,19.82,25.9,70.27
02-07,19.38,24.78,66.64
02-08,19.22,25.4,67.6
02-09,19.37,25.54,69.0
02-10,19.56,25.46,68.08
02-11,20.42,26.84,70.93
02-12,21.0,27.28,69.24
02-13,20.61,27.56,61.23
02-14,20.34,26.88,59.48
02-15,20.78,27.16,62.26
02-16,21.17,27.86,62.53
02-17,21.39,28.12,64.2
02-18,22.03,28.18,64.66
02-19,22.21,28.62,65.11
02-20,22.41,28.56,71.34
02-21,23.14,29.22,68.9
02-22,23.13,29.24,68.14
02-23,22.85,28.58,68.17
02-24,23.3,29.62,69.12
02-25,23.16,29.28,64.64
02-26,23.17,29.78,61.43
02-27,23.62,30.06,61.49
02-28,24.12,30.2,63.62
02-29,22.93,29.9,60.08
03-01,24.36,30.88,62.57
03-02,24.76,31.34,58.77
03-03,24.84,31.58,56.51
03-04,24.61,30.84,55.38
03-05,25.2,31.4,58.84
03-06,24.57,31.16,54.78
03-07,24.59,31.46,53.38
03-08,24.7,31.7,55.75
03-09,25.12,31.96,56.89
03-10,25.59,32.04,54.12
03-11,25.47,32.3,58.33
03-12,26.15,33.12,55.91
03-13,26.54,33.68,59.66
03-14,26.12,32.58,65.81
03-15,26.39,33.32,65.84
03-16,26.59,33.54,64.29
03-17,26.81,33.58,59.13
03-18,26.99,33.32,57.08
03-19,26.63,32.18,60.15
03-20,25.84,31.2,65.45
03-21,25.2,30.3,68.5
03-22,25.02,30.46,70.18
