date,zone,demand_mw,loadshed_mw
2025-09-19,Barisal,488,0
2025-09-19,Chittagong,1366,0
2025-09-19,Comilla,1445,0
2025-09-19,Dhaka,4799,0
2025-09-19,Khulna,1699,0
2025-09-19,Mymensingh,1112,57
2025-09-19,Rajshahi,1389,0
2025-09-19,Rangpur,859,0
2025-09-19,Sylhet,678,0
2025-09-20,Barisal,425,0
2025-09-20,Chittagong,1496,0
2025-09-20,Comilla,1493,0
2025-09-20,Dhaka,5506,0
2025-09-20,Khulna,1794,0
2025-09-20,Mymensingh,1216,133
2025-09-20,Rajshahi,1500,0
2025-09-20,Rangpur,950,0
2025-09-20,Sylhet,690,0
2025-09-21,Barisal,478,0
2025-09-21,Chittagong,1464,0
2025-09-21,Comilla,1421,0
2025-09-21,Dhaka,5580,0
2025-09-21,Khulna,1935,0
2025-09-21,Mymensingh,1237,141
2025-09-21,Rajshahi,1590,0
2025-09-21,Rangpur,1071,0
2025-09-21,Sylhet,722,0
2025-09-22,Barisal,423,0
2025-09-22,Chittagong,1384,0
2025-09-22,Comilla,1329,0
2025-09-22,Dhaka,5192,0
2025-09-22,Khulna,1682,0
2025-09-22,Mymensingh,1188,144
2025-09-22,Rajshahi,1474,0
2025-09-22,Rangpur,1035,0
2025-09-22,Sylhet,669,0
2025-09-23,Barisal,480,0
2025-09-23,Chittagong,1576,0
2025-09-23,Comilla,1516,0
2025-09-23,Dhaka,5343,50
2025-09-23,Khulna,1834,0
2025-09-23,Mymensingh,1266,215
2025-09-23,Rajshahi,1593,0
2025-09-23,Rangpur,1066,0
2025-09-23,Sylhet,714,0
2025-09-24,Barisal,501,0
2025-09-24,Chittagong,1568,0
2025-09-24,Comilla,1520,20
2025-09-24,Dhaka,5470,100
2025-09-24,Khulna,1896,0
2025-09-24,Mymensingh,1163,150
2025-09-24,Rajshahi,1659,0
2025-09-24,Rangpur,1069,39
2025-09-24,Sylhet,663,50
2025-09-26,Barisal,484,0
2025-09-26,Chittagong,1531,0
2025-09-26,Comilla,1512,0
2025-09-26,Dhaka,4832,0
2025-09-26,Khulna,1794,0
2025-09-26,Mymensingh,1255,102
2025-09-26,Rajshahi,1528,0
2025-09-26,Rangpur,1031,0
2025-09-26,Sylhet,703,0
2025-09-28,Barisal,502,0
2025-09-28,Chittagong,1478,0
2025-09-28,Comilla,1486,115
2025-09-28,Dhaka,5329,75
2025-09-28,Khulna,1904,45
2025-09-28,Mymensingh,1216,120
2025-09-28,Rajshahi,1558,140
2025-09-28,Rangpur,1067,105
2025-09-28,Sylhet,679,50
2025-09-30,Barisal,508,0
2025-09-30,Chittagong,1583,0
2025-09-30,Comilla,1580,0
2025-09-30,Dhaka,5397,0
2025-09-30,Khulna,1822,0
2025-09-30,Mymensingh,1196,88
2025-09-30,Rajshahi,1600,0
2025-09-30,Rangpur,993,0
2025-09-30,Sylhet,495,0
2025-10-01,Barisal,395,0
2025-10-01,Chittagong,1368,0
2025-10-01,Comilla,1320,0
2025-10-01,Dhaka,5025,0
2025-10-01,Khulna,1655,0
2025-10-01,Mymensingh,1160,0
2025-10-01,Rajshahi,1320,0
2025-10-01,Rangpur,799,0
2025-10-01,Sylhet,605,0
2025-10-02,Barisal,377,0
2025-10-02,Chittagong,1168,0
2025-10-02,Comilla,1135,0
2025-10-02,Dhaka,4597,0
2025-10-02,Khulna,1509,0
2025-10-02,Mymensingh,1066,0
2025-10-02,Rajshahi,1247,0
2025-10-02,Rangpur,740,0
2025-10-02,Sylhet,482,0
2025-10-03,Barisal,450,0
2025-10-03,Chittagong,1328,0
2025-10-03,Comilla,1336,0
2025-10-03,Dhaka,4225,0
2025-10-03,Khulna,1539,0
2025-10-03,Mymensingh,962,0
2025-10-03,Rajshahi,1269,0
2025-10-03,Rangpur,795,0
2025-10-03,Sylhet,603,0
2025-10-05,Barisal,446,0
2025-10-05,Chittagong,1409,0
2025-10-05,Comilla,1341,0
2025-10-05,Dhaka,5263,0
2025-10-05,Khulna,1404,0
2025-10-05,Mymensingh,735,0
2025-10-05,Rajshahi,1055,0
2025-10-05,Rangpur,706,0
2025-10-05,Sylhet,593,0
2025-10-06,Barisal,434,0
2025-10-06,Chittagong,1348,0
2025-10-06,Comilla,1373,0
2025-10-06,Dhaka,5213,0
2025-10-06,Khulna,1586,0
2025-10-06,Mymensingh,1141,0
2025-10-06,Rajshahi,1354,0
2025-10-06,Rangpur,869,0
2025-10-06,Sylhet,542,0
2025-10-07,Barisal,372,0
2025-10-07,Chittagong,1429,0
2025-10-07,Comilla,1393,0
2025-10-07,Dhaka,5129,0
2025-10-07,Khulna,1649,0
2025-10-07,Mymensingh,1093,41
2025-10-07,Rajshahi,1421,0
2025-10-07,Rangpur,971,0
2025-10-07,Sylhet,586,0
2025-10-08,Barisal,408,0
2025-10-08,Chittagong,1411,0
2025-10-08,Comilla,1371,0
2025-10-08,Dhaka,5310,0
2025-10-08,Khulna,1712,0
2025-10-08,Mymensingh,1118,64
2025-10-08,Rajshahi,1388,0
2025-10-08,Rangpur,927,0
2025-10-08,Sylhet,608,0
2025-10-09,Barisal,423,0
2025-10-09,Chittagong,1425,0
2025-10-09,Comilla,1387,0
2025-10-09,Dhaka,5267,0
2025-10-09,Khulna,1645,0
2025-10-09,Mymensingh,1148,62
2025-10-09,Rajshahi,1406,0
2025-10-09,Rangpur,911,0
2025-10-09,Sylhet,625,0
2025-10-10,Barisal,412,0
2025-10-10,Chittagong,1322,0
2025-10-10,Comilla,1299,0
2025-10-10,Dhaka,4258,0
2025-10-10,Khulna,1420,0
2025-10-10,Mymensingh,1079,25
2025-10-10,Rajshahi,1261,0
2025-10-10,Rangpur,890,0
2025-10-10,Sylhet,619,0
2025-10-11,Barisal,394,0
2025-10-11,Chittagong,1477,0
2025-10-11,Comilla,1269,0
2025-10-11,Dhaka,4887,17
2025-10-11,Khulna,1659,0
2025-10-11,Mymensingh,1054,30
2025-10-11,Rajshahi,1386,0
2025-10-11,Rangpur,955,0
2025-10-11,Sylhet,544,0
2025-10-12,Barisal,405,15
2025-10-12,Chittagong,1460,0
2025-10-12,Comilla,1322,55
2025-10-12,Dhaka,5107,10
2025-10-12,Khulna,1598,105
2025-10-12,Mymensingh,1064,60
2025-10-12,Rajshahi,1348,43
2025-10-12,Rangpur,890,40
2025-10-12,Sylhet,592,0
2025-10-13,Barisal,446,0
2025-10-13,Chittagong,1497,0
2025-10-13,Comilla,1329,35
2025-10-13,Dhaka,5208,6
2025-10-13,Khulna,1612,66
2025-10-13,Mymensingh,1058,67
2025-10-13,Rajshahi,1311,65
2025-10-13,Rangpur,790,47
2025-10-13,Sylhet,646,0
2025-10-14,Barisal,452,0
2025-10-14,Chittagong,1505,15
2025-10-14,Comilla,1396,40
2025-10-14,Dhaka,5228,65
2025-10-14,Khulna,1487,45
2025-10-14,Mymensingh,1032,55
2025-10-14,Rajshahi,1248,55
2025-10-14,Rangpur,787,38
2025-10-14,Sylhet,597,20
2025-10-15,Barisal,413,25
2025-10-15,Chittagong,1429,22
2025-10-15,Comilla,1423,52
2025-10-15,Dhaka,4986,78
2025-10-15,Khulna,1599,55
2025-10-15,Mymensingh,1096,58
2025-10-15,Rajshahi,1262,68
2025-10-15,Rangpur,810,52
2025-10-15,Sylhet,588,40
2025-10-16,Barisal,431,10
2025-10-16,Chittagong,1531,0
2025-10-16,Comilla,1393,60
2025-10-16,Dhaka,5261,70
2025-10-16,Khulna,1606,70
2025-10-16,Mymensingh,1067,100
2025-10-16,Rajshahi,1350,25
2025-10-16,Rangpur,912,10
2025-10-16,Sylhet,593,20
2025-10-17,Barisal,433,0
2025-10-17,Chittagong,1416,0
2025-10-17,Comilla,1353,0
2025-10-17,Dhaka,4563,0
2025-10-17,Khulna,1628,0
2025-10-17,Mymensingh,1210,58
2025-10-17,Rajshahi,1348,0
2025-10-17,Rangpur,930,0
2025-10-17,Sylhet,645,0
2025-10-18,Barisal,490,0
2025-10-18,Chittagong,1435,0
2025-10-18,Comilla,1504,0
2025-10-18,Dhaka,5295,15
2025-10-18,Khulna,1782,15
2025-10-18,Mymensingh,1130,40
2025-10-18,Rajshahi,1450,0
2025-10-18,Rangpur,929,31
2025-10-18,Sylhet,659,0
2025-10-19,Barisal,441,20
2025-10-19,Chittagong,1374,30
2025-10-19,Comilla,1378,50
2025-10-19,Dhaka,5287,120
2025-10-19,Khulna,1641,65
2025-10-19,Mymensingh,1111,85
2025-10-19,Rajshahi,1429,85
2025-10-19,Rangpur,875,75
2025-10-19,Sylhet,718,40
2025-10-20,Barisal,450,0
2025-10-20,Chittagong,1482,0
2025-10-20,Comilla,1405,39
2025-10-20,Dhaka,5343,51
2025-10-20,Khulna,1778,0
2025-10-20,Mymensingh,1062,47
2025-10-20,Rajshahi,1348,39
2025-10-20,Rangpur,836,42
2025-10-20,Sylhet,604,24
2025-10-21,Barisal,469,0
2025-10-21,Chittagong,1512,0
2025-10-21,Comilla,1530,0
2025-10-21,Dhaka,5525,20
2025-10-21,Khulna,1757,0
2025-10-21,Mymensingh,1137,99
2025-10-21,Rajshahi,1463,0
2025-10-21,Rangpur,926,10
2025-10-21,Sylhet,685,0
2025-10-22,Barisal,450,0
2025-10-22,Chittagong,1562,0
2025-10-22,Comilla,1575,0
2025-10-22,Dhaka,5615,30
2025-10-22,Khulna,1698,0
2025-10-22,Mymensingh,1179,127
2025-10-22,Rajshahi,1460,0
2025-10-22,Rangpur,927,0
2025-10-22,Sylhet,668,0
2025-10-23,Barisal,474,0
2025-10-23,Chittagong,1543,0
2025-10-23,Comilla,1513,0
2025-10-23,Dhaka,5375,0
2025-10-23,Khulna,1738,0
2025-10-23,Mymensingh,1157,85
2025-10-23,Rajshahi,1412,0
2025-10-23,Rangpur,933,0
2025-10-23,Sylhet,657,0
2025-10-24,Barisal,460,0
2025-10-24,Chittagong,1404,0
2025-10-24,Comilla,1426,0
2025-10-24,Dhaka,4581,0
2025-10-24,Khulna,1594,0
2025-10-24,Mymensingh,1052,0
2025-10-24,Rajshahi,1314,0
2025-10-24,Rangpur,804,0
2025-10-24,Sylhet,626,0
2025-10-25,Barisal,454,0
2025-10-25,Chittagong,1595,0
2025-10-25,Comilla,1454,0
2025-10-25,Dhaka,5349,9
2025-10-25,Khulna,1682,33
2025-10-25,Mymensingh,1137,49
2025-10-25,Rajshahi,1405,0
2025-10-25,Rangpur,922,0
2025-10-25,Sylhet,635,0
2025-10-26,Barisal,470,0
2025-10-26,Chittagong,1630,0
2025-10-26,Comilla,1476,0
2025-10-26,Dhaka,5471,12
2025-10-26,Khulna,1756,0
2025-10-26,Mymensingh,1153,80
2025-10-26,Rajshahi,1450,0
2025-10-26,Rangpur,903,0
2025-10-26,Sylhet,637,0
2025-10-27,Barisal,474,0
2025-10-27,Chittagong,1571,0
2025-10-27,Comilla,1477,0
2025-10-27,Dhaka,5577,12
2025-10-27,Khulna,1789,0
2025-10-27,Mymensingh,1168,70
2025-10-27,Rajshahi,1396,0
2025-10-27,Rangpur,881,0
2025-10-27,Sylhet,645,0
2025-10-28,Barisal,458,0
2025-10-28,Chittagong,1541,10
2025-10-28,Comilla,1436,0
2025-10-28,Dhaka,5429,0
2025-10-28,Khulna,1721,0
2025-10-28,Mymensingh,1168,100
2025-10-28,Rajshahi,1445,0
2025-10-28,Rangpur,825,0
2025-10-28,Sylhet,653,0
2025-10-29,Barisal,456,0
2025-10-29,Chittagong,1569,15
2025-10-29,Comilla,1419,15
2025-10-29,Dhaka,5478,0
2025-10-29,Khulna,1565,0
2025-10-29,Mymensingh,988,21
2025-10-29,Rajshahi,1224,0
2025-10-29,Rangpur,829,0
2025-10-29,Sylhet,643,0
2025-10-30,Barisal,430,0
2025-10-30,Chittagong,1664,0
2025-10-30,Comilla,1435,0
2025-10-30,Dhaka,5456,5
2025-10-30,Khulna,1637,0
2025-10-30,Mymensingh,1048,27
2025-10-30,Rajshahi,1126,0
2025-10-30,Rangpur,755,0
2025-10-30,Sylhet,675,0
2025-10-31,Barisal,438,0
2025-10-31,Chittagong,1441,0
2025-10-31,Comilla,1368,0
2025-10-31,Dhaka,4672,0
2025-10-31,Khulna,1580,0
2025-10-31,Mymensingh,1092,0
2025-10-31,Rajshahi,1162,0
2025-10-31,Rangpur,551,0
2025-10-31,Sylhet,633,0
2025-11-01,Barisal,453,0
2025-11-01,Chittagong,1595,0
2025-11-01,Comilla,1380,0
2025-11-01,Dhaka,4699,0
2025-11-01,Khulna,1531,0
2025-11-01,Mymensingh,894,0
2025-11-01,Rajshahi,1061,0
2025-11-01,Rangpur,674,0
2025-11-01,Sylhet,571,0
2025-11-02,Barisal,417,0
2025-11-02,Chittagong,1508,0
2025-11-02,Comilla,1369,0
2025-11-02,Dhaka,5056,0
2025-11-02,Khulna,1484,0
2025-11-02,Mymensingh,1002,0
2025-11-02,Rajshahi,1050,0
2025-11-02,Rangpur,701,0
2025-11-02,Sylhet,571,0
2025-11-03,Barisal,376,0
2025-11-03,Chittagong,1457,0
2025-11-03,Comilla,1274,0
2025-11-03,Dhaka,5072,0
2025-11-03,Khulna,1489,0
2025-11-03,Mymensingh,997,0
2025-11-03,Rajshahi,1110,0
2025-11-03,Rangpur,783,0
2025-11-03,Sylhet,563,0
2025-11-04,Barisal,395,0
2025-11-04,Chittagong,1443,0
2025-11-04,Comilla,1328,0
2025-11-04,Dhaka,5080,0
2025-11-04,Khulna,1457,0
2025-11-04,Mymensingh,1042,69
2025-11-04,Rajshahi,1124,0
2025-11-04,Rangpur,747,0
2025-11-04,Sylhet,618,0
2025-11-05,Barisal,413,0
2025-11-05,Chittagong,1275,0
2025-11-05,Comilla,1219,0
2025-11-05,Dhaka,5205,0
2025-11-05,Khulna,1531,0
2025-11-05,Mymensingh,950,48
2025-11-05,Rajshahi,1178,0
2025-11-05,Rangpur,772,0
2025-11-05,Sylhet,534,0
2025-11-06,Barisal,424,0
2025-11-06,Chittagong,1362,20
2025-11-06,Comilla,1270,80
2025-11-06,Dhaka,5195,10
2025-11-06,Khulna,1471,140
2025-11-06,Mymensingh,1030,80
2025-11-06,Rajshahi,1149,76
2025-11-06,Rangpur,764,50
2025-11-06,Sylhet,557,0
2025-11-07,Barisal,414,0
2025-11-07,Chittagong,1305,0
2025-11-07,Comilla,1243,0
2025-11-07,Dhaka,4499,0
2025-11-07,Khulna,1378,0
2025-11-07,Mymensingh,960,0
2025-11-07,Rajshahi,1027,0
2025-11-07,Rangpur,620,0
2025-11-07,Sylhet,545,0
2025-11-08,Barisal,380,0
2025-11-08,Chittagong,1425,0
2025-11-08,Comilla,1225,0
2025-11-08,Dhaka,4740,5
2025-11-08,Khulna,1319,0
2025-11-08,Mymensingh,929,30
2025-11-08,Rajshahi,998,0
2025-11-08,Rangpur,689,0
2025-11-08,Sylhet,545,37
2025-11-09,Barisal,342,7
2025-11-09,Chittagong,1490,31
2025-11-09,Comilla,1103,9
2025-11-09,Dhaka,4825,28
2025-11-09,Khulna,1277,46
2025-11-09,Mymensingh,939,52
2025-11-09,Rajshahi,1037,8
2025-11-09,Rangpur,744,10
2025-11-09,Sylhet,517,10
2025-11-10,Barisal,343,0
2025-11-10,Chittagong,1368,0
2025-11-10,Comilla,1133,0
2025-11-10,Dhaka,4942,0
2025-11-10,Khulna,1340,0
2025-11-10,Mymensingh,923,65
2025-11-10,Rajshahi,1025,0
2025-11-10,Rangpur,786,0
2025-11-10,Sylhet,534,0
2025-11-11,Barisal,329,0
2025-11-11,Chittagong,1393,0
2025-11-11,Comilla,1134,0
2025-11-11,Dhaka,4754,0
2025-11-11,Khulna,1292,0
2025-11-11,Mymensingh,886,45
2025-11-11,Rajshahi,1017,0
2025-11-11,Rangpur,752,0
2025-11-11,Sylhet,523,0
2025-11-12,Barisal,306,0
2025-11-12,Chittagong,1269,0
2025-11-12,Comilla,998,0
2025-11-12,Dhaka,4615,0
2025-11-12,Khulna,1246,0
2025-11-12,Mymensingh,860,44
2025-11-12,Rajshahi,965,0
2025-11-12,Rangpur,684,0
2025-11-12,Sylhet,496,0
2025-11-13,Barisal,298,0
2025-11-13,Chittagong,1436,0
2025-11-13,Comilla,1057,0
2025-11-13,Dhaka,4538,0
2025-11-13,Khulna,1227,0
2025-11-13,Mymensingh,866,0
2025-11-13,Rajshahi,936,0
2025-11-13,Rangpur,712,0
2025-11-13,Sylhet,479,0
2025-11-14,Barisal,284,0
2025-11-14,Chittagong,1206,0
2025-11-14,Comilla,926,0
2025-11-14,Dhaka,3394,0
2025-11-14,Khulna,1093,0
2025-11-14,Mymensingh,825,0
2025-11-14,Rajshahi,878,0
2025-11-14,Rangpur,641,0
2025-11-14,Sylhet,421,0
2025-11-15,Barisal,314,0
2025-11-15,Chittagong,1209,0
2025-11-15,Comilla,947,0
2025-11-15,Dhaka,4243,0
2025-11-15,Khulna,1178,0
2025-11-15,Mymensingh,822,0
2025-11-15,Rajshahi,952,0
2025-11-15,Rangpur,673,0
2025-11-15,Sylhet,438,0
2025-11-16,Barisal,312,0
2025-11-16,Chittagong,1282,0
2025-11-16,Comilla,969,0
2025-11-16,Dhaka,4531,0
2025-11-16,Khulna,1203,0
2025-11-16,Mymensingh,852,0
2025-11-16,Rajshahi,987,0
2025-11-16,Rangpur,702,0
2025-11-16,Sylhet,425,0
2025-11-17,Barisal,312,0
2025-11-17,Chittagong,1429,0
2025-11-17,Comilla,1009,0
2025-11-17,Dhaka,4564,0
2025-11-17,Khulna,1201,0
2025-11-17,Mymensingh,861,0
2025-11-17,Rajshahi,989,0
2025-11-17,Rangpur,695,0
2025-11-17,Sylhet,445,0
2025-11-18,Barisal,322,0
2025-11-18,Chittagong,1384,0
2025-11-18,Comilla,1029,0
2025-11-18,Dhaka,4577,0
2025-11-18,Khulna,1276,0
2025-11-18,Mymensingh,868,30
2025-11-18,Rajshahi,1006,0
2025-11-18,Rangpur,761,0
2025-11-18,Sylhet,438,0
2025-11-19,Barisal,306,0
2025-11-19,Chittagong,1374,0
2025-11-19,Comilla,989,0
2025-11-19,Dhaka,4654,0
2025-11-19,Khulna,1222,0
2025-11-19,Mymensingh,858,0
2025-11-19,Rajshahi,1009,0
2025-11-19,Rangpur,754,0
2025-11-19,Sylhet,435,0
2025-11-20,Barisal,309,0
2025-11-20,Chittagong,1312,0
2025-11-20,Comilla,1021,0
2025-11-20,Dhaka,4651,0
2025-11-20,Khulna,1281,0
2025-11-20,Mymensingh,857,22
2025-11-20,Rajshahi,976,0
2025-11-20,Rangpur,731,0
2025-11-20,Sylhet,443,0
2025-11-21,Barisal,276,0
2025-11-21,Chittagong,1163,0
2025-11-21,Comilla,899,0
2025-11-21,Dhaka,3377,0
2025-11-21,Khulna,1118,0
2025-11-21,Mymensingh,773,0
2025-11-21,Rajshahi,891,0
2025-11-21,Rangpur,670,0
2025-11-21,Sylhet,392,0
2025-11-22,Barisal,316,0
2025-11-22,Chittagong,1260,0
2025-11-22,Comilla,959,0
2025-11-22,Dhaka,4269,0
2025-11-22,Khulna,1275,0
2025-11-22,Mymensingh,887,0
2025-11-22,Rajshahi,989,0
2025-11-22,Rangpur,758,0
2025-11-22,Sylhet,430,0
2025-11-23,Barisal,313,0
2025-11-23,Chittagong,1167,0
2025-11-23,Comilla,940,0
2025-11-23,Dhaka,4288,0
2025-11-23,Khulna,1263,0
2025-11-23,Mymensingh,849,0
2025-11-23,Rajshahi,970,0
2025-11-23,Rangpur,738,0
2025-11-23,Sylhet,403,0
2025-11-24,Barisal,304,0
2025-11-24,Chittagong,1233,0
2025-11-24,Comilla,965,0
2025-11-24,Dhaka,4360,0
2025-11-24,Khulna,1252,0
2025-11-24,Mymensingh,883,0
2025-11-24,Rajshahi,974,0
2025-11-24,Rangpur,728,0
2025-11-24,Sylhet,401,0
2025-11-25,Barisal,307,0
2025-11-25,Chittagong,1186,0
2025-11-25,Comilla,951,0
2025-11-25,Dhaka,4350,0
2025-11-25,Khulna,1257,0
2025-11-25,Mymensingh,876,0
2025-11-25,Rajshahi,998,0
2025-11-25,Rangpur,762,0
2025-11-25,Sylhet,417,0
2025-11-26,Barisal,307,0
2025-11-26,Chittagong,1280,0
2025-11-26,Comilla,934,0
2025-11-26,Dhaka,4262,0
2025-11-26,Khulna,1245,0
2025-11-26,Mymensingh,886,0
2025-11-26,Rajshahi,1004,0
2025-11-26,Rangpur,756,0
2025-11-26,Sylhet,414,0
2025-11-27,Barisal,294,0
2025-11-27,Chittagong,1216,0
2025-11-27,Comilla,951,0
2025-11-27,Dhaka,4266,0
2025-11-27,Khulna,1252,0
2025-11-27,Mymensingh,849,0
2025-11-27,Rajshahi,982,0
2025-11-27,Rangpur,717,0
2025-11-27,Sylhet,416,0
2025-11-28,Barisal,290,0
2025-11-28,Chittagong,1129,0
2025-11-28,Comilla,876,0
2025-11-28,Dhaka,3299,0
2025-11-28,Khulna,1132,0
2025-11-28,Mymensingh,772,0
2025-11-28,Rajshahi,907,0
2025-11-28,Rangpur,697,0
2025-11-28,Sylhet,379,0
2025-11-29,Barisal,290,0
2025-11-29,Chittagong,1142,0
2025-11-29,Comilla,957,0
2025-11-29,Dhaka,4095,0
2025-11-29,Khulna,1258,0
2025-11-29,Mymensingh,886,0
2025-11-29,Rajshahi,1006,0
2025-11-29,Rangpur,758,0
2025-11-29,Sylhet,429,0
2025-11-30,Barisal,314,0
2025-11-30,Chittagong,1235,0
2025-11-30,Comilla,907,0
2025-11-30,Dhaka,4231,0
2025-11-30,Khulna,1266,0
2025-11-30,Mymensingh,834,0
