name,name_bn
Adabor,আদাবর
Bakalia,বাকলিয়া
Bangshal,বংশাল
Barisal Sadar (Kotwali),বরিশাল সদর (কোতোয়ালী)
Biman Bandar,বিমানবন্দর
Boalia,বোয়ালিয়া
Cantonment,ক্যান্টনমেন্ট
Chak Bazar,চকবাজার
Chandgaon,চান্দগাঁও
Chittagong Port,চট্টগ্রাম বন্দর
Comilla Adarsha Sadar,কুমিল্লা আদর্শ সদর
Comilla Sadar Dakshin,কুমিল্লা সদর দক্ষিণ
Dacope,দাকোপ
Dakshin Sunamganj,দক্ষিণ সুনামগঞ্জ
Dakshinkhan,দক্ষিণখান
Double Mooring,ডবলমুরিং
Goalandaghat,গোয়ালন্দঘাট
Halishahar,হালিশহর
Kalabagan,কলাবাগান
Kamrangir Char,কামরাঙ্গীরচর
Kawkhali (Betbunia),কাউখালী (বেতবুনিয়া)
Khan Jahan Ali,খানজাহান আলী
Khulna Sadar,খুলনা সদর
Kotwali,কোতোয়ালী
Lalbagh,লালবাগ
Lohajang,লৌহজং
Mahadebpur,মহাদেবপুর
Matihar,মতিহার
Matlab Dakshin,মতলব দক্ষিণ
Matlab Uttar,মতলব উত্তর
Nawabganj Sadar,চাঁপাইনবাবগঞ্জ সদর
Nesarabad (Swarupkati),নেছারাবাদ (স্বরূপকাঠি)
New Market,নিউ মার্কেট
Noakhali Sadar (Sudharam),নোয়াখালী সদর (সুধারাম)
Pahartali,পাহাড়তলী
Paikgachha,পাইকগাছা
Patenga,পতেঙ্গা
Rajpara,রাজপাড়া
Raumari,রৌমারী
Royganj,রায়গঞ্জ
Roypur,রায়পুর
Roypura,রায়পুরা
Sabujbagh,সবুজবাগ
Shah Ali,শাহ আলী
Shah Makhdum,শাহ মখদুম
Shahbagh,শাহবাগ
Tejgaon Ind. Area,তেজগাঁও শিল্পাঞ্চল
Turag,তুরাগ
