district,zone,evidence
Dhaka,Dhaka,verified
Gazipur,Dhaka,verified
Narayanganj,Dhaka,verified
Narsingdi,Dhaka,verified
Manikganj,Dhaka,verified
Munshiganj,Dhaka,inferred
Mymensingh,Mymensingh,verified
Jamalpur,Mymensingh,verified
Sherpur,Mymensingh,verified
Netrakona,Mymensingh,verified
Kishoreganj,Mymensingh,verified
Tangail,Mymensingh,verified
Comilla,Comilla,verified
Brahamanbaria,Comilla,verified
Chandpur,Comilla,verified
Noakhali,Comilla,verified
Feni,Comilla,verified
Lakshmipur,Comilla,verified
Chittagong,Chittagong,verified
Cox's Bazar,Chittagong,verified
Rangamati,Chittagong,verified
Khagrachhari,Chittagong,verified
Bandarban,Chittagong,inferred
Sylhet,Sylhet,verified
Maulvibazar,Sylhet,verified
Habiganj,Sylhet,verified
Sunamganj,Sylhet,inferred
Khulna,Khulna,verified
Bagerhat,Khulna,verified
Satkhira,Khulna,inferred
Jessore,Khulna,inferred
Jhenaidah,Khulna,inferred
Magura,Khulna,inferred
Narail,Khulna,inferred
Kushtia,Khulna,verified
Chuadanga,Khulna,inferred
Meherpur,Khulna,inferred
Faridpur,Khulna,verified
Gopalganj,Khulna,verified
Madaripur,Khulna,inferred
Shariatpur,Khulna,inferred
Rajbari,Khulna,inferred
Barisal,Barisal,verified
Bhola,Barisal,verified
Patuakhali,Barisal,verified
Pirojpur,Barisal,inferred
Jhalokati,Barisal,inferred
Barguna,Barisal,inferred
Rajshahi,Rajshahi,verified
Nawabganj,Rajshahi,verified
Naogaon,Rajshahi,inferred
Natore,Rajshahi,verified
Pabna,Rajshahi,verified
Sirajganj,Rajshahi,verified
Bogra,Rajshahi,verified
Joypurhat,Rajshahi,inferred
Rangpur,Rangpur,verified
Dinajpur,Rangpur,verified
Nilphamari,Rangpur,verified
Thakurgaon,Rangpur,verified
Panchagarh,Rangpur,verified
Lalmonirhat,Rangpur,verified
Kurigram,Rangpur,inferred
Gaibandha,Rangpur,inferred
